Elevacao_deg,Azimute_otimo_deg,Desvio_z_resultante_m,Alcance_x_m,Altura_max_m,Tempo_voo_s,Diferenca_x_m
39.6,-1.35,4.259246773041941,16796.79426326996,5103.246457095753,62.04180900746973,0.0
36.2,-1.2,4.255394009403566,16715.88633845619,4513.638861885515,58.18687931606762,80.90792481377139
34.8,-1.15,2.135880508484953,16634.56347989951,4273.205766979197,56.55230933819677,81.32285855667942
33.7,-1.1,4.031470865888904,16550.86121953024,4085.6368617805,55.24901332756559,83.7022603692676
32.8,-1.1,-5.927495674659212,16469.30928122055,3933.185644058352,54.17045355785096,81.55193830969074
32.0,-1.05,-0.2012194331792396,16386.86407468531,3798.521521781521,53.20267183735474,82.4452065352416
31.2,-1.0,5.628372236873207,16294.99491152334,3664.726076058492,52.22650212072202,91.86916316196948
30.5,-1.0,-1.580263971906104,16206.85987954793,3548.415202139219,51.36556520664014,88.13503197540922
29.9,-0.95,6.465059404682914,16125.54964085969,3449.316635976558,50.62262402694941,81.31023868824013
29.3,-0.95,0.5032673726790257,16038.92219837579,3350.794858225556,49.87510078834129,86.62744248389936
28.7,-0.95,-5.321804207223595,15946.97855563895,3252.874888243626,49.12301619807527,91.94364273684005
28.2,-0.9,3.774945510931935,15866.30721468471,3171.750553764438,48.49280027415092,80.6713409542408
27.7,-0.9,-0.9513794909356375,15781.95886963071,3091.0750881018,47.85942197717807,84.34834505400067
27.2,-0.9,-5.585317767701657,15693.93977665885,3010.862088384093,47.22287396322883,88.01909297185921
26.7,-0.85,3.49050340396784,15602.2610629741,2931.122459003042,46.58314731207951,91.67871368475062
26.2,-0.85,-1.037878318541236,15506.9294118208,2851.869278407253,45.9402204076633,95.33165115329939
25.7,-0.85,-5.474464779154843,15407.95248847064,2773.114088740647,45.29406830274415,98.97692335015927
25.3,-0.8,4.41775145932391,15326.15375838277,2710.479233231903,44.77479849686937,81.79873008787035
24.9,-0.8,0.9213691731316265,15242.03182157639,2648.179836733787,44.25341519203397,84.1219368063812
24.5,-0.8,-2.516015874329639,15155.58953629455,2586.219727373832,43.72989508424339,86.44228528183885
24.1,-0.8,-5.895489208805533,15066.82834195813,2524.603944033939,43.20420010355904,88.76119433642089
23.7,-0.75,3.853207868639297,14975.75301183174,2463.34350512416,42.67629956531349,91.07533012638851
23.3,-0.75,0.5114952539834425,14882.36197625329,2402.439984749953,42.14615033508744,93.3910355784501
22.9,-0.75,-2.771247805010726,14786.65430926641,2341.902137125125,41.61371026535715,95.70766698688021
22.5,-0.75,-5.995364701442992,14688.62744867308,2281.735018696627,41.07892629931384,98.02686059333064
